,0
2007-07-06,0.0
2007-07-09,0.00023927764802467166
2007-07-10,0.0001202261006285621
2007-07-11,-0.00050436549384969
2007-07-12,-0.0012201826155894269
2007-07-13,0.0008378607649082159
2007-07-16,0.0010451346684006158
2007-07-17,0.0006260783213687393
2007-07-18,-0.00041459451940295544
2007-07-19,-0.0006234780580391952
2007-07-20,-0.0003267299744164065
2007-07-23,-0.0011625954372276315
2007-07-24,-0.0020348425546106164
2007-07-25,-0.002167233185383921
2007-07-26,-0.00045437823581639947
2007-07-27,-0.0012437221854049163
2007-07-30,-0.00389651141199987
2007-07-31,-1.2516767092796144e-06
2007-08-01,0.0015711373637723458
2007-08-02,6.01459567715068e-05
2007-08-03,0.001818670522219179
2007-08-06,0.00033659632392257777
2007-08-07,0.0004591637316433417
2007-08-08,0.0010105633481132248
2007-08-09,0.0021702130056893143
2007-08-10,0.0003036558500981723
2007-08-13,0.0003642996806694221
2007-08-14,0.0009106698543268621
2007-08-15,0.00018165150786231266
2007-08-16,-0.000636199963288453
2007-08-17,-0.0009713777295664583
2007-08-20,0.0003342976115063845
2007-08-21,0.00012123977372158201
2007-08-22,0.0015808278587268187
2007-08-23,0.0010599317161628097
2007-08-24,-6.029688743702799e-05
2007-08-27,0.0013296724260278836
2007-08-28,0.00024128320360783384
2007-08-29,9.069632971847597e-05
2007-08-30,-2.9709493295393408e-05
2007-08-31,0.00024126117479106313
2007-09-01,0.0010356434245870627
2007-09-04,0.00032613199437747653
2007-09-05,0.0005289289991785573
2007-09-06,0.0006796657881931178
2007-09-07,0.0004069125611645408
2007-09-10,0.00010487696393268742
2007-09-11,0.00010488123441465547
2007-09-12,0.00019540755192970494
2007-09-13,0.0002255468131127092
2007-09-14,0.0002255009592009305
2007-09-17,0.0008886028895331854
2007-09-18,0.0007966619435944011
2007-09-19,0.0016359413091677766
2007-09-20,0.001719272685435147
2007-09-21,0.0003428366743043476
2007-09-24,0.001592114502580566
2007-09-25,0.00019350308503462976
2007-09-26,0.0002800956814776878
2007-09-27,0.0003589320747954261
2007-09-28,0.00033898603971005414
2007-10-01,0.00014987927542420287
2007-10-02,2.295138051233714e-05
2007-10-03,0.00026090653626642535
2007-10-04,0.0007166729297625185
2007-10-05,0.0005571371480490583
2007-10-08,0.00024048703886858647
2007-10-09,0.0003983103815563549
2007-10-10,0.000575442704982887
2007-10-11,0.00045656557318363156
2007-10-12,0.00037749602746361965
2007-10-15,0.00014156517982621963
2007-10-16,8.265720848887881e-05
2007-10-17,-0.0004671815101688903
2007-10-18,-0.00017315446013688174
2007-10-19,-0.0003703569923257932
2007-10-22,-0.00035139548313201097
2007-10-23,4.3068187054240425e-05
2007-10-24,0.000299974213223253
2007-10-25,0.00012210397694012443
2007-10-26,0.00020109679041202533
2007-10-29,0.0003589873960017087
2007-10-30,0.00018126021996400787
2007-10-31,0.0001220940963835293
2007-11-01,0.00022902857490691986
2007-11-02,-0.000492926935948157
2007-11-05,-0.00011641878276524853
2007-11-06,-9.667996960172065e-05
2007-11-07,-5.698971641476813e-05
2007-11-08,-0.00045547416524105433
2007-11-09,0.00012226343971799558
2007-11-12,0.0002420132238769579
2007-11-13,-0.0008751140177365446
2007-11-14,-0.00013786030917228853
2007-11-15,4.224179500611491e-05
2007-11-16,-0.0005388277465760982
2007-11-19,-0.0005603381028429499
2007-11-20,-0.001065076766135098
2007-11-21,-0.0015390900761068638
2007-11-23,-0.0007205078042782365
2007-11-26,5.724754405633803e-06
2007-11-27,0.0004967975208005626
2007-11-28,0.0004418645848176528
2007-11-29,0.001114478731460311
2007-11-30,0.00123369475441093
2007-12-01,0.0011959823948537451
2007-12-03,0.0009319775504885719
2007-12-04,-9.054563122379289e-05
2007-12-05,-0.00029191051379384714
2007-12-06,0.0005026870141213724
2007-12-07,4.399883308714436e-05
2007-12-10,0.0003795923769767118
2007-12-11,0.0002978925507661767
2007-12-12,0.0001155890213302424
2007-12-13,-0.00012671520675477943
2007-12-14,-0.00041203855068094875
2007-12-17,-0.0002907827974635291
2007-12-18,-0.0005644641249090698
2007-12-19,-0.00023026000564796423
2007-12-20,-0.00013896403725732753
2007-12-21,-0.0002607707786694835
2007-12-24,0.0004703247133099886
2007-12-26,-1.7224102777713135e-05
2007-12-27,0.00014347738207698413
2007-12-28,-4.7313804235837864e-05
2007-12-31,0.0007235714054465436
2008-01-02,-0.0003747866111286635
2008-01-03,-0.000334324958664034
2008-01-04,-0.0010666429973709146
2008-01-07,-0.002373373583174021
2008-01-08,-0.002139391994509743
2008-01-09,-0.0019776304023642055
2008-01-10,-0.0027602709109868506
2008-01-11,0.00034338173873638134
2008-01-14,0.0008623023486176162
2008-01-15,3.128632818327759e-05
2008-01-16,-7.237153032013666e-05
2008-01-17,-0.0015751166185539178
2008-01-18,-0.0016835955187897156
2008-01-22,-0.0013238015296654915
2008-01-23,0.000241277209160895
2008-01-24,-0.003102351389807856
2008-01-25,0.0012941873776159962
2008-01-28,0.002705706631162652
2008-01-29,0.001387188583096055
2008-01-30,0.0009671413069249901
2008-01-31,0.0004463137762300562
2008-02-01,0.0005171932523559963
2008-02-04,0.0005008594140727407
2008-02-05,0.0005002043256787658
2008-02-06,-0.0011121784905440135
2008-02-07,-0.0009580453143470669
2008-02-08,-0.0022122252949328125
2008-02-11,-0.0025883362423189116
2008-02-12,-0.002179607435719655
2008-02-13,-0.0013420535216257523
2008-02-14,0.00013981127262208126
2008-02-15,0.0002987725431642385
2008-02-19,-7.23426760620427e-05
2008-02-20,-0.000443182644072726
2008-02-21,-0.00033742328779662323
