Date,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
29-Mar-07,109.48,109.2,--,"2,400,000.00"
30-Mar-07,109.51,109.22,--,"2,400,000.00"
02-Apr-07,109.53,108.96,0.28,"2,400,000.00"
03-Apr-07,109.54,108.97,--,"2,400,000.00"
04-Apr-07,109.56,108.99,--,"2,400,000.00"
05-Apr-07,109.58,109.01,--,"2,400,000.00"
09-Apr-07,109.62,109,--,"2,400,000.00"
10-Apr-07,109.64,109.07,--,"2,400,000.00"
11-Apr-07,109.65,109.08,--,"2,400,000.00"
12-Apr-07,109.67,109.09,--,"2,400,000.00"
13-Apr-07,109.69,109.11,--,"2,400,000.00"
16-Apr-07,109.73,109.15,--,"2,400,000.00"
17-Apr-07,109.75,109.18,--,"2,400,000.00"
18-Apr-07,109.78,109.2,--,"2,400,000.00"
19-Apr-07,109.79,109.21,--,"2,400,000.00"
20-Apr-07,109.81,109.23,--,"2,400,000.00"
23-Apr-07,109.85,109.27,--,"2,500,000.00"
24-Apr-07,109.87,109.29,--,"2,500,000.00"
25-Apr-07,109.88,109.3,--,"2,700,000.00"
26-Apr-07,109.89,109.31,--,"2,700,000.00"
27-Apr-07,109.91,109.33,--,"2,600,000.00"
30-Apr-07,109.97,109.39,--,"2,600,000.00"
01-May-07,109.99,109.07,0.33,"2,600,000.00"
02-May-07,110,109.09,--,"2,100,000.00"
03-May-07,110.01,109.09,--,"2,100,000.00"
04-May-07,110.03,109.11,--,"2,100,000.00"
07-May-07,110.07,109.15,--,"2,000,000.00"
08-May-07,110.09,109.17,--,"2,000,000.00"
09-May-07,110.1,109.18,--,"2,000,000.00"
10-May-07,110.13,109.21,--,"2,000,000.00"
11-May-07,110.15,109.23,--,"2,000,000.00"
14-May-07,110.19,109.27,--,"2,000,000.00"
15-May-07,110.21,109.29,--,"2,000,000.00"
16-May-07,110.24,109.32,--,"1,800,000.00"
17-May-07,110.25,109.33,--,"1,800,000.00"
18-May-07,110.26,109.34,--,"1,800,000.00"
21-May-07,110.29,109.37,--,"1,800,000.00"
22-May-07,110.3,109.38,--,"1,800,000.00"
23-May-07,110.31,109.39,--,"1,800,000.00"
24-May-07,110.33,109.4,--,"1,800,000.00"
25-May-07,110.35,109.42,--,"1,800,000.00"
29-May-07,110.4,109.48,--,"1,800,000.00"
30-May-07,110.42,109.5,--,"1,800,000.00"
31-May-07,110.44,109.52,--,"1,800,000.00"
01-Jun-07,110.45,109.12,0.42,"1,800,000.00"
04-Jun-07,110.5,109.15,--,"1,800,000.00"
05-Jun-07,110.51,109.17,--,"1,800,000.00"
06-Jun-07,110.53,109.19,--,"1,800,000.00"
07-Jun-07,110.54,109.2,--,"1,800,000.00"
08-Jun-07,110.57,109.22,--,"1,800,000.00"
11-Jun-07,110.61,109.27,--,"1,800,000.00"
12-Jun-07,110.62,109.27,--,"1,800,000.00"
13-Jun-07,110.64,109.28,--,"1,700,000.00"
14-Jun-07,110.65,109.3,--,"1,500,000.00"
15-Jun-07,110.68,109.33,--,"1,500,000.00"
18-Jun-07,110.73,109.38,--,"1,500,000.00"
19-Jun-07,110.76,109.4,--,"1,500,000.00"
20-Jun-07,110.76,109.41,--,"1,500,000.00"
21-Jun-07,110.78,109.43,--,"1,500,000.00"
22-Jun-07,110.79,109.45,--,"1,700,000.00"
25-Jun-07,110.84,109.49,--,"1,700,000.00"
26-Jun-07,110.84,109.49,--,"1,700,000.00"
27-Jun-07,110.87,109.51,--,"1,700,000.00"
28-Jun-07,110.87,109.52,--,"2,000,000.00"
29-Jun-07,110.9,109.54,--,"2,000,000.00"
02-Jul-07,110.91,109.09,0.47,"2,000,000.00"
03-Jul-07,110.92,109.09,--,"2,000,000.00"
05-Jul-07,110.94,109.11,--,"2,000,000.00"
06-Jul-07,110.96,109.12,--,"2,100,000.00"
09-Jul-07,111,109.16,--,"2,100,000.00"
10-Jul-07,111.03,109.19,--,"2,200,000.00"
11-Jul-07,111.04,109.2,--,"2,500,000.00"
12-Jul-07,111.04,109.2,--,"2,700,000.00"
13-Jul-07,111.06,109.23,--,"2,700,000.00"
16-Jul-07,111.1,109.26,--,"2,800,000.00"
17-Jul-07,111.11,109.28,--,"2,800,000.00"
18-Jul-07,111.14,109.3,--,"2,900,000.00"
19-Jul-07,111.15,109.31,--,"2,900,000.00"
20-Jul-07,111.18,109.34,--,"2,900,000.00"
23-Jul-07,111.21,109.37,--,"2,900,000.00"
24-Jul-07,111.22,109.38,--,"2,900,000.00"
25-Jul-07,111.25,109.4,--,"2,900,000.00"
26-Jul-07,111.29,109.45,--,"2,900,000.00"
27-Jul-07,111.31,109.47,--,"3,100,000.00"
30-Jul-07,111.35,109.44,--,"3,100,000.00"
31-Jul-07,111.36,109.51,--,"3,100,000.00"
01-Aug-07,111.39,109.1,0.43,"3,100,000.00"
02-Aug-07,111.4,109.12,--,"3,100,000.00"
03-Aug-07,111.44,109.15,--,"3,100,000.00"
06-Aug-07,111.47,109.19,--,"3,400,000.00"
07-Aug-07,111.47,109.19,--,"3,400,000.00"
08-Aug-07,111.46,109.17,--,"3,400,000.00"
09-Aug-07,111.53,109.21,--,"3,400,000.00"
10-Aug-07,111.59,109.28,--,"3,400,000.00"
13-Aug-07,111.61,109.32,--,"3,400,000.00"
14-Aug-07,111.66,109.36,--,"3,400,000.00"
15-Aug-07,111.75,109.45,--,"3,400,000.00"
16-Aug-07,111.9,109.51,--,"3,700,000.00"
17-Aug-07,111.93,109.61,--,"4,000,000.00"
20-Aug-07,112.06,109.74,--,"4,100,000.00"
21-Aug-07,112.1,109.8,--,"4,100,000.00"
22-Aug-07,112.11,109.82,--,"4,100,000.00"
23-Aug-07,112.05,109.79,--,"4,100,000.00"
24-Aug-07,111.97,109.78,--,"4,100,000.00"
27-Aug-07,111.92,109.66,--,"4,100,000.00"
28-Aug-07,111.99,109.72,--,"4,100,000.00"
29-Aug-07,112.04,109.76,--,"4,100,000.00"
30-Aug-07,112.07,109.8,--,"4,100,000.00"
31-Aug-07,112.04,109.76,--,"4,100,000.00"
04-Sep-07,112.04,109.36,0.42,"4,100,000.00"
05-Sep-07,112.09,109.4,--,"4,100,000.00"
06-Sep-07,112.09,109.4,--,"4,100,000.00"
07-Sep-07,112.19,109.48,--,"4,100,000.00"
10-Sep-07,112.25,109.54,--,"4,100,000.00"
11-Sep-07,112.22,109.52,--,"4,100,000.00"
12-Sep-07,112.24,109.53,--,"4,200,000.00"
13-Sep-07,112.24,109.53,--,"4,200,000.00"
14-Sep-07,112.26,109.55,--,"4,200,000.00"
17-Sep-07,112.28,109.57,--,"4,200,000.00"
18-Sep-07,112.34,109.62,--,"4,200,000.00"
19-Sep-07,112.38,109.65,--,"4,200,000.00"
20-Sep-07,112.39,109.66,--,"4,200,000.00"
21-Sep-07,112.43,109.7,--,"4,200,000.00"
24-Sep-07,112.46,109.73,--,"4,500,000.00"
25-Sep-07,112.49,109.77,--,"4,500,000.00"
26-Sep-07,112.5,109.78,--,"4,600,000.00"
27-Sep-07,112.52,109.79,--,"4,600,000.00"
28-Sep-07,112.53,109.78,--,"4,300,000.00"
01-Oct-07,112.51,109.41,0.37,"4,300,000.00"
02-Oct-07,112.52,109.42,--,"4,300,000.00"
03-Oct-07,112.52,109.43,--,"4,300,000.00"
04-Oct-07,112.54,109.44,--,"4,300,000.00"
05-Oct-07,112.52,109.43,--,"4,300,000.00"
08-Oct-07,--,109.46,--,"4,300,000.00"
09-Oct-07,112.55,109.45,--,"4,300,000.00"
10-Oct-07,112.56,109.46,--,"4,300,000.00"
11-Oct-07,112.56,109.47,--,"4,300,000.00"
12-Oct-07,112.55,109.46,--,"4,300,000.00"
15-Oct-07,112.58,109.49,--,"4,300,000.00"
16-Oct-07,112.61,109.52,--,"4,300,000.00"
17-Oct-07,112.69,109.58,--,"4,300,000.00"
18-Oct-07,112.75,109.64,--,"4,300,000.00"
19-Oct-07,112.77,109.66,--,"4,200,000.00"
22-Oct-07,112.79,109.69,--,"4,200,000.00"
23-Oct-07,112.8,109.7,--,"4,200,000.00"
24-Oct-07,112.85,109.75,--,"4,000,000.00"
25-Oct-07,112.85,109.75,--,"4,000,000.00"
26-Oct-07,112.86,109.76,--,"4,000,000.00"
29-Oct-07,112.89,109.78,--,"4,000,000.00"
30-Oct-07,112.9,109.8,--,"4,000,000.00"
31-Oct-07,112.9,109.79,--,"4,000,000.00"
01-Nov-07,112.97,109.45,0.39,"4,000,000.00"
02-Nov-07,113.05,109.53,--,"4,000,000.00"
05-Nov-07,113.06,109.56,--,"4,100,000.00"
06-Nov-07,113.07,109.57,--,"4,100,000.00"
07-Nov-07,113.14,109.61,--,"4,100,000.00"
08-Nov-07,113.19,109.67,--,"4,100,000.00"
09-Nov-07,113.23,109.69,--,"4,100,000.00"
12-Nov-07,--,109.73,--,"4,300,000.00"
13-Nov-07,113.24,109.72,--,"4,300,000.00"
14-Nov-07,113.26,109.75,--,"4,400,000.00"
15-Nov-07,113.33,109.83,--,"4,400,000.00"
16-Nov-07,113.34,109.85,--,"4,700,000.00"
19-Nov-07,113.4,109.91,--,"4,700,000.00"
20-Nov-07,113.45,109.93,--,"4,700,000.00"
21-Nov-07,113.5,109.98,--,"4,700,000.00"
23-Nov-07,113.5,109.98,--,"4,700,000.00"
26-Nov-07,113.55,110.03,--,"4,700,000.00"
27-Nov-07,113.53,110.01,--,"4,700,000.00"
28-Nov-07,113.53,110,--,"4,700,000.00"
29-Nov-07,113.58,110.04,--,"4,700,000.00"
30-Nov-07,113.55,110.03,--,"4,700,000.00"
03-Dec-07,113.62,109.71,0.36,"4,700,000.00"
04-Dec-07,113.63,109.72,--,"5,900,000.00"
05-Dec-07,113.64,109.73,--,"4,700,000.00"
06-Dec-07,113.62,109.71,--,"4,800,000.00"
07-Dec-07,113.62,109.71,--,"4,800,000.00"
10-Dec-07,113.66,109.75,--,"4,800,000.00"
11-Dec-07,113.73,109.81,--,"4,800,000.00"
12-Dec-07,113.71,109.79,--,"4,800,000.00"
13-Dec-07,113.72,109.8,--,"4,800,000.00"
14-Dec-07,113.71,109.8,--,"4,800,000.00"
17-Dec-07,113.73,109.83,--,"4,800,000.00"
18-Dec-07,113.75,109.84,--,"4,800,000.00"
19-Dec-07,113.77,109.87,--,"4,800,000.00"
20-Dec-07,113.8,109.88,--,"4,800,000.00"
21-Dec-07,113.76,109.85,--,"5,000,000.00"
24-Dec-07,113.75,109.85,--,"6,400,000.00"
26-Dec-07,113.75,109.85,--,"5,000,000.00"
27-Dec-07,113.8,109.51,0.39,"5,000,000.00"
28-Dec-07,113.82,109.53,--,"5,000,000.00"
31-Dec-07,113.84,109.55,--,"5,000,000.00"
02-Jan-08,113.91,109.61,--,"5,000,000.00"
03-Jan-08,113.93,109.63,--,"5,200,000.00"
04-Jan-08,113.96,109.65,--,"5,200,000.00"
07-Jan-08,113.98,109.68,--,"5,200,000.00"
08-Jan-08,113.98,109.69,--,"5,200,000.00"
09-Jan-08,114.01,109.71,--,"5,200,000.00"
10-Jan-08,114.02,109.71,--,"5,400,000.00"
11-Jan-08,114.08,109.77,--,"5,500,000.00"
14-Jan-08,114.12,109.81,--,"5,500,000.00"
15-Jan-08,114.14,109.82,--,"5,500,000.00"
16-Jan-08,114.15,109.84,--,"5,500,000.00"
17-Jan-08,114.18,109.87,--,"5,500,000.00"
18-Jan-08,114.24,109.9,--,"5,500,000.00"
22-Jan-08,114.44,110.09,--,"5,500,000.00"
23-Jan-08,114.51,110.18,--,"5,500,000.00"
24-Jan-08,114.45,110.13,--,"5,500,000.00"
25-Jan-08,114.48,110.15,--,"5,500,000.00"
28-Jan-08,114.52,110.2,--,"5,500,000.00"
29-Jan-08,114.52,110.21,--,"5,500,000.00"
30-Jan-08,114.55,110.23,--,"5,500,000.00"
31-Jan-08,114.61,110.28,--,"6,800,000.00"
01-Feb-08,114.6,109.98,0.3,"5,500,000.00"
04-Feb-08,114.6,109.98,--,"5,500,000.00"
05-Feb-08,114.64,110.02,--,"5,500,000.00"
06-Feb-08,114.66,110.04,--,"5,500,000.00"
07-Feb-08,114.65,110.03,--,"5,600,000.00"
08-Feb-08,114.66,110.02,--,"5,700,000.00"
11-Feb-08,114.68,110.05,--,"5,800,000.00"
12-Feb-08,114.67,110.04,--,"5,800,000.00"
13-Feb-08,114.69,110.06,--,"5,800,000.00"
14-Feb-08,114.7,110.07,--,"5,800,000.00"
15-Feb-08,114.71,110.07,--,"5,800,000.00"
19-Feb-08,114.74,110.09,--,"5,800,000.00"
20-Feb-08,114.71,110.09,--,"6,000,000.00"
21-Feb-08,114.75,110.13,--,"6,000,000.00"
22-Feb-08,114.76,110.13,--,"6,100,000.00"
25-Feb-08,114.76,110.14,--,"6,300,000.00"
26-Feb-08,114.79,110.17,--,"6,300,000.00"
27-Feb-08,114.82,110.19,--,"6,500,000.00"
28-Feb-08,114.86,110.23,--,"6,700,000.00"
29-Feb-08,114.89,110.25,--,"6,800,000.00"
03-Mar-08,114.94,110.06,0.23,"6,800,000.00"
04-Mar-08,114.97,110.09,--,"8,500,000.00"
05-Mar-08,114.97,110.09,--,"6,800,000.00"
06-Mar-08,115.03,110.14,--,"6,800,000.00"
07-Mar-08,115.05,110.16,--,"6,800,000.00"
10-Mar-08,115.1,110.22,--,"6,800,000.00"
11-Mar-08,115.02,110.14,--,"6,800,000.00"
12-Mar-08,115.05,110.18,--,"6,800,000.00"
13-Mar-08,115.08,110.21,--,"6,800,000.00"
14-Mar-08,115.16,110.27,--,"6,700,000.00"
17-Mar-08,115.24,110.37,--,"6,700,000.00"
18-Mar-08,115.22,110.35,--,"6,700,000.00"
19-Mar-08,115.29,110.42,--,"6,800,000.00"
20-Mar-08,115.28,110.41,--,"6,800,000.00"
24-Mar-08,115.2,110.35,--,"6,800,000.00"
25-Mar-08,115.18,110.35,--,"6,800,000.00"
26-Mar-08,115.19,110.36,--,"6,700,000.00"
27-Mar-08,115.2,110.37,--,"6,700,000.00"
28-Mar-08,115.18,110.34,--,"6,500,000.00"
31-Mar-08,115.21,110.37,--,"6,500,000.00"
01-Apr-08,115.17,110.11,0.21,"6,500,000.00"
02-Apr-08,115.14,110.09,--,"8,200,000.00"
03-Apr-08,115.15,110.1,--,"6,600,000.00"
04-Apr-08,115.17,110.11,--,"6,600,000.00"
07-Apr-08,115.18,110.12,--,"6,600,000.00"
08-Apr-08,115.21,110.16,--,"6,600,000.00"
09-Apr-08,115.25,110.19,--,"6,600,000.00"
10-Apr-08,115.25,110.19,--,"6,600,000.00"
11-Apr-08,115.3,110.22,--,"6,600,000.00"
14-Apr-08,115.32,110.25,--,"6,600,000.00"
15-Apr-08,115.3,110.23,--,"7,500,000.00"
16-Apr-08,115.28,110.21,--,"6,600,000.00"
17-Apr-08,115.26,110.19,--,"6,600,000.00"
18-Apr-08,115.23,110.16,--,"6,700,000.00"
21-Apr-08,115.27,110.2,--,"6,700,000.00"
22-Apr-08,115.28,110.21,--,"6,700,000.00"
23-Apr-08,115.29,110.22,--,"6,700,000.00"
24-Apr-08,115.27,110.21,--,"6,700,000.00"
25-Apr-08,115.26,110.18,--,"6,700,000.00"
28-Apr-08,115.28,110.22,--,"6,700,000.00"
29-Apr-08,115.27,110.21,--,"6,700,000.00"
30-Apr-08,115.29,110.23,--,"6,700,000.00"
01-May-08,115.28,110.06,0.17,"7,000,000.00"
02-May-08,115.26,110.03,--,"8,100,000.00"
05-May-08,115.27,110.05,--,"7,200,000.00"
06-May-08,115.28,110.06,--,"7,400,000.00"
07-May-08,115.28,110.06,--,"7,400,000.00"
08-May-08,115.3,110.08,--,"7,400,000.00"
09-May-08,115.29,110.05,--,"7,400,000.00"
12-May-08,115.27,110.05,--,"7,400,000.00"
13-May-08,115.24,110.02,--,"7,400,000.00"
14-May-08,115.24,110.02,--,"7,400,000.00"
15-May-08,115.27,110.06,--,"7,400,000.00"
16-May-08,115.27,110.05,--,"7,600,000.00"
19-May-08,115.29,110.08,--,"7,600,000.00"
20-May-08,115.31,110.1,--,"7,600,000.00"
21-May-08,115.3,110.08,--,"7,600,000.00"
22-May-08,115.29,110.07,--,"7,600,000.00"
23-May-08,115.3,110.07,--,"7,600,000.00"
27-May-08,115.32,110.09,--,"7,700,000.00"
28-May-08,115.31,110.09,--,"9,200,000.00"
29-May-08,115.31,110.08,--,"7,700,000.00"
30-May-08,115.31,110.07,--,"7,700,000.00"
02-Jun-08,115.36,109.91,0.21,"7,700,000.00"
03-Jun-08,115.37,109.92,--,"7,700,000.00"
04-Jun-08,115.37,109.92,--,"7,700,000.00"
05-Jun-08,115.37,109.92,--,"7,800,000.00"
06-Jun-08,115.38,109.92,--,"7,800,000.00"
09-Jun-08,115.34,109.89,--,"7,800,000.00"
10-Jun-08,115.3,109.86,--,"7,800,000.00"
11-Jun-08,115.33,109.9,--,"7,800,000.00"
12-Jun-08,115.3,109.87,--,"7,900,000.00"
13-Jun-08,115.29,109.85,--,"7,900,000.00"
16-Jun-08,115.31,109.88,--,"7,900,000.00"
17-Jun-08,115.34,109.92,--,"7,900,000.00"
18-Jun-08,115.38,109.95,--,"7,900,000.00"
19-Jun-08,115.37,109.95,--,"7,900,000.00"
20-Jun-08,115.4,109.96,--,"7,900,000.00"
23-Jun-08,115.4,109.97,--,"7,900,000.00"
24-Jun-08,115.43,110,--,"7,900,000.00"
25-Jun-08,115.45,110.01,--,"7,900,000.00"
26-Jun-08,115.49,110.05,--,"7,900,000.00"
27-Jun-08,115.49,110.05,--,"7,900,000.00"
30-Jun-08,115.5,110.07,--,"7,900,000.00"
01-Jul-08,115.5,109.87,0.19,"8,200,000.00"
02-Jul-08,115.52,109.9,--,"8,500,000.00"
03-Jul-08,115.53,109.89,--,"8,700,000.00"
07-Jul-08,115.57,109.94,--,"8,700,000.00"
08-Jul-08,115.58,109.94,--,"9,000,000.00"
09-Jul-08,115.59,109.95,--,"9,000,000.00"
10-Jul-08,115.62,109.96,--,"9,000,000.00"
11-Jul-08,115.59,109.92,--,"9,100,000.00"
14-Jul-08,115.66,109.99,--,"9,200,000.00"
15-Jul-08,115.7,110.03,--,"9,200,000.00"
16-Jul-08,115.71,110.05,--,"9,300,000.00"
17-Jul-08,115.69,110.03,--,"9,300,000.00"
18-Jul-08,115.69,110.02,--,"9,400,000.00"
21-Jul-08,115.71,110.04,--,"9,500,000.00"
22-Jul-08,115.71,110.06,--,"9,500,000.00"
23-Jul-08,115.69,110.05,--,"9,800,000.00"
24-Jul-08,115.72,110.09,--,"9,800,000.00"
25-Jul-08,115.69,110.05,--,"9,800,000.00"
28-Jul-08,115.74,110.09,--,"9,800,000.00"
29-Jul-08,115.74,110.09,--,"10,000,000.00"
30-Jul-08,115.74,110.09,--,"10,300,000.00"
31-Jul-08,115.76,110.11,--,"10,300,000.00"
01-Aug-08,115.76,109.89,0.2,"10,300,000.00"
04-Aug-08,115.77,109.9,--,"10,300,000.00"
05-Aug-08,115.78,109.91,--,"10,600,000.00"
06-Aug-08,115.8,109.92,--,"10,600,000.00"
07-Aug-08,115.83,109.94,--,"10,600,000.00"
08-Aug-08,115.8,109.91,--,"10,600,000.00"
11-Aug-08,115.8,109.93,--,"10,800,000.00"
12-Aug-08,115.82,109.94,--,"10,800,000.00"
13-Aug-08,115.82,109.93,--,"10,800,000.00"
14-Aug-08,115.83,109.95,--,"10,800,000.00"
15-Aug-08,115.84,109.95,--,"11,000,000.00"
18-Aug-08,115.87,109.99,--,"11,000,000.00"
19-Aug-08,115.88,110,--,"11,000,000.00"
20-Aug-08,115.92,110.02,--,"11,000,000.00"
21-Aug-08,115.9,110.01,--,"11,000,000.00"
22-Aug-08,115.89,109.98,--,"11,000,000.00"
25-Aug-08,115.94,110.04,--,"11,200,000.00"
26-Aug-08,115.94,110.04,--,"11,200,000.00"
27-Aug-08,115.95,110.06,--,"11,200,000.00"
28-Aug-08,115.94,110.03,--,"11,300,000.00"
29-Aug-08,115.95,110.01,--,"13,600,000.00"
02-Sep-08,115.99,109.91,0.17,"13,600,000.00"
03-Sep-08,116.01,109.92,--,"14,000,000.00"
04-Sep-08,116.03,109.94,--,"14,000,000.00"
05-Sep-08,116.01,109.91,--,"14,000,000.00"
08-Sep-08,116.03,109.94,--,"14,100,000.00"
09-Sep-08,116.06,109.97,--,"14,100,000.00"
10-Sep-08,116.06,109.96,--,"14,100,000.00"
11-Sep-08,116.08,109.98,--,"14,100,000.00"
12-Sep-08,116.09,109.98,--,"14,300,000.00"
15-Sep-08,116.28,110.15,--,"14,300,000.00"
16-Sep-08,116.3,110.16,--,"14,300,000.00"
17-Sep-08,116.48,110.34,--,"14,400,000.00"
18-Sep-08,116.51,110.37,--,"14,800,000.00"
19-Sep-08,116.17,110.09,--,"15,200,000.00"
22-Sep-08,116.21,110.13,--,"15,600,000.00"
23-Sep-08,116.29,110.18,--,"15,800,000.00"
24-Sep-08,116.37,110.25,--,"15,800,000.00"
25-Sep-08,116.32,110.22,--,"15,800,000.00"
26-Sep-08,116.31,110.18,--,"16,000,000.00"
29-Sep-08,116.43,110.33,--,"16,200,000.00"
30-Sep-08,116.32,110.21,--,"16,600,000.00"
01-Oct-08,116.36,110.1,0.15,"17,600,000.00"
02-Oct-08,116.46,110.16,--,"17,900,000.00"
03-Oct-08,116.51,110.21,--,"17,800,000.00"
06-Oct-08,116.6,110.32,--,"17,800,000.00"
07-Oct-08,116.54,110.3,--,"17,300,000.00"
08-Oct-08,116.55,110.27,--,"16,800,000.00"
09-Oct-08,116.53,110.26,--,"16,900,000.00"
10-Oct-08,116.63,110.31,--,"17,200,000.00"
13-Oct-08,--,110.35,--,"17,200,000.00"
14-Oct-08,116.59,110.3,--,"17,200,000.00"
15-Oct-08,116.64,110.33,--,"17,200,000.00"
16-Oct-08,116.59,110.31,--,"17,200,000.00"
17-Oct-08,116.53,110.25,--,"17,200,000.00"
20-Oct-08,116.42,110.17,--,"17,200,000.00"
21-Oct-08,116.45,110.21,--,"17,200,000.00"
22-Oct-08,116.48,110.23,--,"17,200,000.00"
23-Oct-08,116.51,110.27,--,"17,200,000.00"
24-Oct-08,116.51,110.23,--,"17,200,000.00"
27-Oct-08,115.18,110.29,--,"17,200,000.00"
28-Oct-08,116.57,110.31,--,"17,000,000.00"
29-Oct-08,116.62,110.36,--,"17,000,000.00"
30-Oct-08,116.66,110.39,--,"17,000,000.00"
31-Oct-08,116.65,110.37,--,"17,000,000.00"
03-Nov-08,116.68,110.23,0.18,"17,000,000.00"
04-Nov-08,116.69,110.23,--,"16,700,000.00"
05-Nov-08,116.71,110.24,--,"16,700,000.00"
06-Nov-08,116.74,110.27,--,"16,400,000.00"
07-Nov-08,116.73,110.26,--,"16,400,000.00"
10-Nov-08,116.77,110.31,--,"16,400,000.00"
11-Nov-08,--,110.33,--,"16,400,000.00"
12-Nov-08,116.82,110.35,--,"16,400,000.00"
13-Nov-08,116.79,110.34,--,"16,400,000.00"
14-Nov-08,116.79,110.32,--,"16,400,000.00"
17-Nov-08,116.82,110.36,--,"16,400,000.00"
18-Nov-08,116.85,110.39,--,"16,400,000.00"
19-Nov-08,116.87,110.4,--,"16,400,000.00"
20-Nov-08,116.9,110.44,--,"16,400,000.00"
21-Nov-08,116.9,110.42,--,"16,400,000.00"
24-Nov-08,116.89,110.41,--,"16,400,000.00"
25-Nov-08,116.89,110.43,--,"16,500,000.00"
26-Nov-08,116.9,110.43,--,"16,500,000.00"
28-Nov-08,116.92,110.43,--,"16,500,000.00"
01-Dec-08,116.94,110.32,0.14,"16,500,000.00"
02-Dec-08,116.95,110.32,--,"16,500,000.00"
03-Dec-08,116.98,110.35,--,"16,500,000.00"
04-Dec-08,117.02,110.4,--,"16,400,000.00"
05-Dec-08,117.02,110.36,--,"16,400,000.00"
08-Dec-08,117.03,110.4,--,"16,400,000.00"
09-Dec-08,117.06,110.42,--,"16,400,000.00"
10-Dec-08,117.06,110.43,--,"16,400,000.00"
11-Dec-08,117.06,110.43,--,"16,400,000.00"
12-Dec-08,117.06,110.41,--,"16,400,000.00"
15-Dec-08,117.06,110.44,--,"16,400,000.00"
16-Dec-08,117.09,110.48,--,"16,400,000.00"
17-Dec-08,117.07,110.44,--,"16,400,000.00"
18-Dec-08,117.09,110.45,--,"16,400,000.00"
19-Dec-08,117.08,110.43,--,"15,200,000.00"
22-Dec-08,117.08,110.44,--,"14,700,000.00"
23-Dec-08,117.08,110.44,--,"14,700,000.00"
24-Dec-08,117.08,110.43,--,"14,600,000.00"
26-Dec-08,117.08,110.43,--,"14,600,000.00"
29-Dec-08,117.1,110.32,0.14,"14,600,000.00"
30-Dec-08,117.1,110.32,--,"14,200,000.00"
31-Dec-08,117.08,110.28,--,"14,200,000.00"
02-Jan-09,117.08,110.24,--,"14,200,000.00"
05-Jan-09,117.07,110.26,--,"13,800,000.00"
06-Jan-09,117.07,110.26,--,"13,500,000.00"
07-Jan-09,117.08,110.27,--,"13,500,000.00"
08-Jan-09,117.08,110.27,--,"13,500,000.00"
09-Jan-09,117.07,110.24,--,"13,500,000.00"
12-Jan-09,117.09,110.28,--,"13,500,000.00"
13-Jan-09,117.08,110.26,--,"13,500,000.00"
14-Jan-09,117.09,110.27,--,"13,500,000.00"
15-Jan-09,117.09,110.27,--,"13,500,000.00"
16-Jan-09,117.07,110.22,--,"14,100,000.00"
20-Jan-09,117.09,110.27,--,"14,100,000.00"
21-Jan-09,117.08,110.26,--,"14,200,000.00"
22-Jan-09,117.1,110.3,--,"14,100,000.00"
23-Jan-09,117.08,110.26,--,"14,100,000.00"
26-Jan-09,117.09,110.29,--,"14,100,000.00"
27-Jan-09,117.1,110.3,--,"14,200,000.00"
28-Jan-09,117.09,110.3,--,"14,200,000.00"
29-Jan-09,117.08,110.28,--,"15,500,000.00"
30-Jan-09,117.07,110.25,--,"14,400,000.00"
02-Feb-09,117.08,110.25,0.03,"14,400,000.00"
03-Feb-09,117.06,110.21,--,"14,300,000.00"
04-Feb-09,117.06,110.21,--,"14,400,000.00"
05-Feb-09,117.06,110.21,--,"14,400,000.00"
06-Feb-09,117.05,110.18,--,"14,300,000.00"
09-Feb-09,117.04,110.2,--,"14,100,000.00"
10-Feb-09,117.06,110.22,--,"13,900,000.00"
11-Feb-09,117.05,110.2,--,"13,900,000.00"
12-Feb-09,117.06,110.2,--,"13,900,000.00"
13-Feb-09,117.04,110.15,--,"13,900,000.00"
17-Feb-09,117.06,110.2,--,"13,900,000.00"
18-Feb-09,117.05,110.19,--,"13,800,000.00"
19-Feb-09,117.05,110.19,--,"13,700,000.00"
20-Feb-09,117.05,110.17,--,"13,700,000.00"
23-Feb-09,117.05,110.2,--,"13,700,000.00"
24-Feb-09,117.05,110.21,--,"13,700,000.00"
25-Feb-09,117.05,110.19,--,"13,700,000.00"
26-Feb-09,117.05,110.2,--,"13,800,000.00"
27-Feb-09,117.06,110.19,--,"14,000,000.00"
02-Mar-09,117.09,110.17,0.07,"14,000,000.00"
03-Mar-09,117.09,110.17,--,"14,100,000.00"
04-Mar-09,117.08,110.16,--,"14,300,000.00"
05-Mar-09,117.1,110.17,--,"14,300,000.00"
06-Mar-09,117.1,110.15,--,"14,500,000.00"
09-Mar-09,117.1,110.17,--,"14,700,000.00"
10-Mar-09,117.09,110.17,--,"14,800,000.00"
11-Mar-09,117.1,110.16,--,"14,800,000.00"
12-Mar-09,117.11,110.18,--,"14,800,000.00"
13-Mar-09,117.11,110.16,--,"14,900,000.00"
16-Mar-09,117.11,110.18,--,"14,900,000.00"
17-Mar-09,117.12,110.18,--,"15,100,000.00"
18-Mar-09,117.14,110.21,--,"15,400,000.00"
19-Mar-09,117.14,110.2,--,"16,300,000.00"
20-Mar-09,117.13,110.18,--,"16,300,000.00"
23-Mar-09,117.14,110.2,--,"16,300,000.00"
